Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,GDP,HBP,SH,SF,IBB
Connor Joe,30,PIT,NL,133,472,413,63,102,31,4,11,42,3,5,50,110,4,8,0,1,0
Bryce Johnson#,27,SFG,NL,30,48,43,7,7,1,0,1,3,3,0,4,15,0,0,0,1,0
Pierce Johnson,32,TOT,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jahmai Jones,25,MIL,NL,7,11,10,2,2,1,0,0,3,1,0,1,5,0,0,0,0,0
Nolan Jones*,25,COL,NL,106,424,367,60,109,22,4,20,62,20,4,53,126,1,3,0,1,3
Aaron Judge,31,NYY,AL,106,458,367,79,98,16,0,37,75,3,1,88,130,5,0,0,3,9
Edouard Julien*,24,MIN,AL,109,408,338,60,89,16,1,16,37,3,0,64,128,8,2,1,3,0
Corey Julks,27,HOU,AL,93,323,298,35,73,14,0,6,33,15,3,22,75,6,1,0,2,0
Josh Jung,25,TEX,AL,122,515,478,75,127,25,1,23,70,1,3,30,151,7,5,0,2,0
Jakob Junis,30,SFG,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connor Kaiser,26,COL,NL,3,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Karl Kauffmann,25,COL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
